WKT,Coordinates,Route Name,Route Number
"POINT (120.9823422 14.5864078)",14.5864078, 120.9823422,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9827026 14.58583)",14.58583, 120.9827026,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.983627 14.5841726)",14.5841726, 120.983627,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9843089 14.5829885)",14.5829885, 120.9843089,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9861976 14.5796226)",14.5796226, 120.9861976,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9880671 14.5763592)",14.5763592, 120.9880671,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9890256 14.574672)",14.574672, 120.9890256,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9912281 14.5707412)",14.5707412, 120.9912281,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9917343 14.5697865)",14.5697865, 120.9917343,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9931274 14.5667933)",14.5667933, 120.9931274,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9939482 14.5650502)",14.5650502, 120.9939482,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9941069 14.5650721)",14.5650721, 120.9941069,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.9932799 14.5668153)",14.5668153, 120.9932799,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.9918248 14.569913)",14.569913, 120.9918248,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.9913716 14.5708119)",14.5708119, 120.9913716,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.9892479 14.5745974)",14.5745974, 120.9892479,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.9897823 14.5752762)",14.5752762, 120.9897823,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.9891776 14.5763714)",14.5763714, 120.9891776,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.9884305 14.5776988)",14.5776988, 120.9884305,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.987528 14.5790562)",14.5790562, 120.987528,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.9860989 14.5800844)",14.5800844, 120.9860989,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.9849483 14.582147)",14.582147, 120.9849483,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.9837628 14.5842136)",14.5842136, 120.9837628,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.9828947 14.5858034)",14.5858034, 120.9828947,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.9824988 14.5865042)",14.5865042, 120.9824988,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.9809377 14.5899126)",14.5899126, 120.9809377,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.9806716 14.5908506)",14.5908506, 120.9806716,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.976844 14.5965166)",14.5965166, 120.976844,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.9760354 14.5976608)",14.5976608, 120.9760354,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.9750109 14.5995198)",14.5995198, 120.9750109,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.9734412 14.6008094)",14.6008094, 120.9734412,Baclaran-Divisoria via L Guinto,64.0
"POINT (120.9941072 14.5650734)",14.5650734, 120.9941072,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9932845 14.566816)",14.566816, 120.9932845,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9918647 14.5698275)",14.5698275, 120.9918647,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9913687 14.5708174)",14.5708174, 120.9913687,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9892467 14.5745908)",14.5745908, 120.9892467,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9860974 14.5800848)",14.5800848, 120.9860974,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9849471 14.5821486)",14.5821486, 120.9849471,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9837625 14.5842134)",14.5842134, 120.9837625,Baclaran-Dapitan via L Guinto,65.0
"POINT (120.9828603 14.5858742)",14.5858742, 120.9828603,Baclaran-Dapitan via L Guinto,65.0
