WKT,Coordinates,Route Name,Route Number,,,
POINT (121.0171219 14.5939203),14.5939203,121.0171219,Bacood-Stop N Shop,185,,
POINT (121.0194472 14.5918322),14.5918322,121.0194472,Bacood-Stop N Shop,185,,
POINT (121.0168517 14.5895419),14.5895419,121.0168517,Bacood-Stop N Shop,185,,
POINT (121.0085011 14.6122218),14.6122218,121.0085011,Balic-Balic-Bustillos via G. Tuazon,171,,
POINT (121.0068169 14.612377),14.612377,121.0068169,Balic-Balic-Bustillos via G. Tuazon,171,,
POINT (121.0049752 14.6108223),14.6108223,121.0049752,Balic-Balic-Bustillos via G. Tuazon,171,,
POINT (121.0038007 14.6089548),14.6089548,121.0038007,Balic-Balic-Bustillos via G. Tuazon,171,,
POINT (121.0029857 14.6068629),14.6068629,121.0029857,Balic-Balic-Bustillos via G. Tuazon,171,,
POINT (121.0010592 14.6057027),14.6057027,121.0010592,Balic-Balic-Bustillos via G. Tuazon,171,,
POINT (120.9990878 14.6044666),14.6044666,120.9990878,Balic-Balic-Bustillos via G. Tuazon,171,,
POINT (120.9964296 14.6059889),14.6059889,120.9964296,Balic-Balic-Bustillos via G. Tuazon,171,,
POINT (120.9951616 14.6073483),14.6073483,120.9951616,Balic-Balic-Bustillos via G. Tuazon,171,,
POINT (120.9944067 14.6070615),14.6070615,120.9944067,Balic-Balic-Bustillos via G. Tuazon,171,,
POINT (120.9938307 14.6065385),14.6065385,120.9938307,Balic-Balic-Bustillos via G. Tuazon,171,,
POINT (120.9950451 14.6029165),14.6029165,120.9950451,Balic-Balic-Bustillos via G. Tuazon,171,,
POINT (120.9931645 14.6014425),14.6014425,120.9931645,Balic-Balic-Bustillos via G. Tuazon,171,,
POINT (120.9950326 14.6116646),14.6116646,120.9950326,Balic-Balic-España/M. Dela Fuente,172,,
POINT (120.9968769 14.6098476),14.6098476,120.9968769,Balic-Balic-España/M. Dela Fuente,172,,
POINT (120.9989578 14.6076905),14.6076905,120.9989578,Balic-Balic-España/M. Dela Fuente,172,,
POINT (121.0010585 14.6057014),14.6057014,121.0010585,Balic-Balic-España/M. Dela Fuente,172,,
POINT (121.0029884 14.6068603),14.6068603,121.0029884,Balic-Balic-España/M. Dela Fuente,172,,
POINT (121.0038017 14.6089551),14.6089551,121.0038017,Balic-Balic-España/M. Dela Fuente,172,,
POINT (121.0047134 14.6105426),14.6105426,121.0047134,Balic-Balic-España/M. Dela Fuente,172,,
POINT (121.0068163 14.6123764),14.6123764,121.0068163,Balic-Balic-España/M. Dela Fuente,172,,
POINT (121.0085018 14.6122225),14.6122225,121.0085018,Balic-Balic-España/M. Dela Fuente,172,,
POINT (121.008353 14.6123378),14.6123378,121.008353,Balic-Balic-Quiapo (Barbosa) via Lepanto,7,,
POINT (121.0068192 14.6123826),14.6123826,121.0068192,Balic-Balic-Quiapo (Barbosa) via Lepanto,7,,
POINT (121.0050124 14.6108602),14.6108602,121.0050124,Balic-Balic-Quiapo (Barbosa) via Lepanto,7,,
POINT (121.0037494 14.6087746),14.6087746,121.0037494,Balic-Balic-Quiapo (Barbosa) via Lepanto,7,,
POINT (121.0029297 14.6068384),14.6068384,121.0029297,Balic-Balic-Quiapo (Barbosa) via Lepanto,7,,
POINT (121.0010245 14.6056805),14.6056805,121.0010245,Balic-Balic-Quiapo (Barbosa) via Lepanto,7,,
POINT (120.9990759 14.6044577),14.6044577,120.9990759,Balic-Balic-Quiapo (Barbosa) via Lepanto,7,,
POINT (120.9944027 14.6070534),14.6070534,120.9944027,Balic-Balic-Quiapo (Barbosa) via Lepanto,7,,
POINT (120.9938184 14.6065247),14.6065247,120.9938184,Balic-Balic-Quiapo (Barbosa) via Lepanto,7,,
POINT (120.9926284 14.6074141),14.6074141,120.9926284,Balic-Balic-Quiapo (Barbosa) via Lepanto,7,,
POINT (120.990614 14.6055777),14.6055777,120.990614,Balic-Balic-Quiapo (Barbosa) via Lepanto,7,,
POINT (120.9889145 14.6031884),14.6031884,120.9889145,Balic-Balic-Quiapo (Barbosa) via Lepanto,7,,
POINT (120.98807 14.6000224),14.6000224,120.98807,Balic-Balic-Quiapo (Barbosa) via Lepanto,7,,
