WKT,Longitude,Latitude,Route Name,Route Number
POINT (120.991986119708 14.6098287197085),120.9919861,14.60982872,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.9880394 14.6052594999999),120.9880394,14.6052595,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.9880394 14.6052594999999),120.9880394,14.6052595,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.997235619708 14.6135330197085),120.9972356,14.61353302,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.9880394 14.6052594999999),120.9880394,14.6052595,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.001509019708 14.6176327197085),121.001509,14.61763272,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.004992005383 14.6154171552132),121.004992,14.61541716,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.9991032 14.6175311),120.9991032,14.6175311,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.005634469708 14.6214894197085),121.0056345,14.62148942,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.9991032 14.6175311),120.9991032,14.6175311,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.9991032 14.6175311),120.9991032,14.6175311,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.009182719708 14.6250373697085),121.0091827,14.62503737,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.9991032 14.6175311),120.9991032,14.6175311,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.015501869708 14.6183497197085),121.0155019,14.61834972,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.015639069708 14.6298284697085),121.0156391,14.62982847,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.020806519708 14.6331148697085),121.0208065,14.63311487,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.017318119708 14.6313686197085),121.0173181,14.63136862,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.017760019708 14.6319817197085),121.01776,14.63198172,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.9991032 14.6175311),120.9991032,14.6175311,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.9991032 14.6175311),120.9991032,14.6175311,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.024718219708 14.6358846197085),121.0247182,14.63588462,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.025290019708 14.6359512697085),121.02529,14.63595127,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.029815619708 14.6344247197085),121.0298156,14.63442472,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.0249093 14.6323327),121.0249093,14.6323327,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.041209119708 14.6302076697085),121.0412091,14.63020767,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.0320766 14.6236701),121.0320766,14.6236701,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.0320766 14.6236701),121.0320766,14.6236701,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (121.03351 14.6267988),121.03351,14.6267988,Project 2&3–T.M. Kalaw via Timog Ave.,98
