WKT,Coordinates,Route Name,Route Number
"POINT (120.9847972 14.5698937)",14.5698937, 120.9847972,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9830612 14.5739436)",14.5739436, 120.9830612,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9813017 14.5775187)",14.5775187, 120.9813017,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9803181 14.5798435)",14.5798435, 120.9803181,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9810739 14.5823065)",14.5823065, 120.9810739,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9804849 14.5833564)",14.5833564, 120.9804849,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9809473 14.5898737)",14.5898737, 120.9809473,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9806584 14.5908714)",14.5908714, 120.9806584,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9801808 14.5929862)",14.5929862, 120.9801808,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9802498 14.5956666)",14.5956666, 120.9802498,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9813508 14.5991736)",14.5991736, 120.9813508,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9817346 14.6013362)",14.6013362, 120.9817346,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9819776 14.6034814)",14.6034814, 120.9819776,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9821078 14.6054781)",14.6054781, 120.9821078,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9833176 14.6110068)",14.6110068, 120.9833176,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9833988 14.6121475)",14.6121475, 120.9833988,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9835787 14.6142451)",14.6142451, 120.9835787,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9837309 14.6162169)",14.6162169, 120.9837309,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9838085 14.6179749)",14.6179749, 120.9838085,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9838531 14.6204607)",14.6204607, 120.9838531,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.98299 14.6237989)",14.6237989, 120.98299,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9830898 14.6269448)",14.6269448, 120.9830898,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (121.0131829 14.6008762)",14.6008762, 121.0131829,Bacood-Stop N Shop,185.0
"POINT (121.015406 14.5978033)",14.5978033, 121.015406,Bacood-Stop N Shop,185.0
"POINT (121.0150872 14.5958115)",14.5958115, 121.0150872,Bacood-Stop N Shop,185.0
"POINT (121.0171219 14.5939203)",14.5939203, 121.0171219,Bacood-Stop N Shop,185.0
"POINT (121.0194472 14.5918322)",14.5918322, 121.0194472,Bacood-Stop N Shop,185.0
"POINT (121.0168517 14.5895419)",14.5895419, 121.0168517,Bacood-Stop N Shop,185.0
