WKT,Coordinates,Route Name,Route Number,,
POINT (121.0062 14.56903),14.56903,121.0062,L Guinto-Zobel Roxas via Paco,152,
POINT (121.02605 14.54912),14.54912,121.02605,Libertad, Pasay-Pasay Rd.,153
POINT (121.02472 14.549),14.549,121.02472,Libertad, Pasay-Pasay Rd.,153
POINT (121.02246 14.55054),14.55054,121.02246,Libertad, Pasay-Pasay Rd.,153
POINT (121.01896 14.55098),14.55098,121.01896,Libertad, Pasay-Pasay Rd.,153
POINT (121.01731 14.55115),14.55115,121.01731,Libertad, Pasay-Pasay Rd.,153
POINT (121.01369 14.55459),14.55459,121.01369,Libertad, Pasay-Pasay Rd.,153
POINT (121.0128 14.55159),14.55159,121.0128,Libertad, Pasay-Pasay Rd.,153
POINT (121.01022 14.55106),14.55106,121.01022,Libertad, Pasay-Pasay Rd.,153
POINT (121.00722 14.55034),14.55034,121.00722,Libertad, Pasay-Pasay Rd.,153
POINT (121.0119888 14.5752873),14.5752873,121.0119888,Del Pan-Guadalupe (Ibabaw),154,
POINT (121.0129045 14.5741192),14.5741192,121.0129045,Del Pan-Guadalupe (Ibabaw),154,
POINT (121.0138468 14.5725334),14.5725334,121.0138468,Del Pan-Guadalupe (Ibabaw),154,
POINT (121.0140825 14.5714513),14.5714513,121.0140825,Del Pan-Guadalupe (Ibabaw),154,
POINT (121.0162115 14.5696153),14.5696153,121.0162115,Del Pan-Guadalupe (Ibabaw),154,
POINT (121.0177945 14.5687682),14.5687682,121.0177945,Del Pan-Guadalupe (Ibabaw),154,
POINT (121.020392 14.5678181),14.5678181,121.020392,Del Pan-Guadalupe (Ibabaw),154,
POINT (121.0222 14.5671396),14.5671396,121.0222,Del Pan-Guadalupe (Ibabaw),154,
POINT (121.0233998 14.5666899),14.5666899,121.0233998,Del Pan-Guadalupe (Ibabaw),154,
POINT (121.0241495 14.5682482),14.5682482,121.0241495,Del Pan-Guadalupe (Ibabaw),154,
POINT (121.0248084 14.5700992),14.5700992,121.0248084,Del Pan-Guadalupe (Ibabaw),154,
POINT (121.027492 14.5714231),14.5714231,121.027492,Del Pan-Guadalupe (Ibabaw),154,
POINT (121.0291546 14.5700538),14.5700538,121.0291546,Del Pan-Guadalupe (Ibabaw),154,
POINT (121.0279055 14.5675585),14.5675585,121.0279055,Del Pan-Guadalupe (Ibabaw),154,
POINT (121.0320921 14.5674353),14.5674353,121.0320921,Del Pan-Guadalupe (Ibabaw),154,
POINT (121.0349617 14.5668399),14.5668399,121.0349617,Del Pan-Guadalupe (Ibabaw),154,
POINT (121.0379128 14.5670812),14.5670812,121.0379128,Del Pan-Guadalupe (Ibabaw),154,
POINT (121.04144104930025 14.56742940157024),14.56742940157024, 121.04144104930025,Del Pan-Guadalupe (Ibabaw),154,
POINT (121.0463864847384 14.566701367298858),14.566701367298858, 121.0463864847384,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0465388 14.5670149),14.5670149,121.0465388,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0466168 14.5674083),14.5674083,121.0466168,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0469575 14.5677701),14.5677701,121.0469575,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0490248 14.5679895),14.5679895,121.0490248,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0509218 14.5675689),14.5675689,121.0509218,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0517573 14.5670919),14.5670919,121.0517573,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0530052 14.5663501),14.5663501,121.0530052,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0544958 14.5646835),14.5646835,121.0544958,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0559932 14.564385),14.564385,121.0559932,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0582221 14.5638049),14.5638049,121.0582221,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0589976 14.5633443),14.5633443,121.0589976,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0600647 14.5628144),14.5628144,121.0600647,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0617127 14.5615211),14.5615211,121.0617127,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0632017 14.5603224),14.5603224,121.0632017,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0645863 14.5600606),14.5600606,121.0645863,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0658063 14.559287),14.559287,121.0658063,Guadalupe (ABC)-Pateros via JP Rizal,155,
POINT (121.0660548 14.5577086),14.5577086,121.0660548,Guadalupe (ABC)-Pateros via JP Rizal,155,
